Review_ID,Product_Name,Category,Rating,Review_Text
2022,Smart Watch,Electronics,2,"Touch response is slow and screen lags often."
2023,Running Shoes,Footwear,5,"Lightweight and provides excellent arch support."
2024,Laptop Stand,Accessories,3,"Does the job but adjustment mechanism feels tight."
2025,Noise-Canceling Headphones,Electronics,2,"Ear cups feel cheap and plastic quality is poor."
2026,Smart Watch,Electronics,4,"Stylish look and accurate step counter."
2027,Running Shoes,Footwear,1,"Uncomfortable sole and caused foot pain."
2028,Laptop Stand,Accessories,5,"Very stable and improves posture significantly."
2029,Noise-Canceling Headphones,Electronics,3,"Average battery life but sound is clear."
2030,Smart Watch,Electronics,5,"Syncs quickly with phone and tracks workouts well."
2031,Running Shoes,Footwear,4,"Great cushioning and lightweight build."
2032,Laptop Stand,Accessories,2,"Hinge became loose after two weeks."
2033,Noise-Canceling Headphones,Electronics,1,"Constant connectivity issues and static sounds."
2034,Smart Watch,Electronics,3,"Decent performance but charging is slow."
2035,Running Shoes,Footwear,5,"Perfect for jogging and daily exercise."
2036,Laptop Stand,Accessories,4,"Simple design and very practical."
2037,Noise-Canceling Headphones,Electronics,4,"Comfortable fit and strong noise reduction."
2038,Smart Watch,Electronics,2,"Display brightness is inconsistent."
2039,Running Shoes,Footwear,2,"Material feels cheap and wears out quickly."
2040,Laptop Stand,Accessories,5,"Excellent quality and sturdy base."
2041,Noise-Canceling Headphones,Electronics,5,"Crystal clear sound and deep bass."
2042,Smart Watch,Electronics,4,"Tracks heart rate accurately."
2043,Running Shoes,Footwear,1,"Sole separated after minimal usage."
2044,Laptop Stand,Accessories,3,"Works fine but could be more stable."
2045,Noise-Canceling Headphones,Electronics,2,"Headband is uncomfortable and tight."
2046,Smart Watch,Electronics,5,"Responsive touchscreen and elegant design."
2047,Running Shoes,Footwear,4,"Very breathable and flexible."
2048,Laptop Stand,Accessories,1,"Collapsed under laptop weight."
2049,Noise-Canceling Headphones,Electronics,3,"Noise cancellation works but battery life is average."
2050,Smart Watch,Electronics,4,"Good value for money with useful features."
2051,Running Shoes,Footwear,5,"Excellent cushioning and perfect for long distance running."
2052,Laptop Stand,Accessories,4,"Very stable and easy to fold away."
2053,Noise-Canceling Headphones,Electronics,2,"Battery life is disappointing and drains quickly."
2054,Smart Watch,Electronics,5,"Accurate tracking and impressive battery performance."
2055,Running Shoes,Footwear,1,"Glue came apart and sole separated quickly."
2056,Laptop Stand,Accessories,3,"Decent quality but slightly wobbly."
2057,Noise-Canceling Headphones,Electronics,4,"Clear audio and comfortable for long sessions."
2058,Smart Watch,Electronics,2,"Screen becomes unresponsive at times."
2059,Running Shoes,Footwear,5,"Lightweight design and very breathable."
2060,Laptop Stand,Accessories,5,"Premium material and very sturdy."
2061,Noise-Canceling Headphones,Electronics,1,"Static noise appears frequently during calls."
2062,Smart Watch,Electronics,4,"Tracks workouts accurately and looks stylish."
2063,Running Shoes,Footwear,2,"Not durable and stitching is weak."
2064,Laptop Stand,Accessories,4,"Perfect height adjustment and solid build."
2065,Noise-Canceling Headphones,Electronics,3,"Sound quality is fine but build feels plastic."
2066,Smart Watch,Electronics,1,"Battery barely lasts half a day."
2067,Running Shoes,Footwear,5,"Comfortable fit and great grip on roads."
2068,Laptop Stand,Accessories,2,"Hinge loosened after short use."
2069,Noise-Canceling Headphones,Electronics,5,"Fantastic noise isolation and deep bass."
2070,Smart Watch,Electronics,3,"Good features but syncing takes time."
2071,Running Shoes,Footwear,4,"Good support and lightweight feel."
2072,Laptop Stand,Accessories,5,"Very durable and sleek design."
2073,Noise-Canceling Headphones,Electronics,2,"Uncomfortable ear pads after an hour."
2074,Smart Watch,Electronics,5,"Bright display and smooth performance."
2075,Running Shoes,Footwear,1,"Caused blisters after first run."
2076,Laptop Stand,Accessories,4,"Easy to adjust and very practical."
2077,Noise-Canceling Headphones,Electronics,4,"Comfortable headband and clear calls."
2078,Smart Watch,Electronics,2,"Touchscreen lags occasionally."
2079,Running Shoes,Footwear,5,"Excellent for gym and outdoor runs."
2080,Laptop Stand,Accessories,3,"Works well but could be more stable."
2081,Noise-Canceling Headphones,Electronics,1,"Connectivity issues and poor mic quality."
2082,Smart Watch,Electronics,4,"Good value and accurate heart rate monitor."
2083,Running Shoes,Footwear,2,"Material feels cheap and thin."
2084,Laptop Stand,Accessories,5,"Strong frame and great portability."
2085,Noise-Canceling Headphones,Electronics,5,"Superb audio clarity and powerful bass."
2086,Smart Watch,Electronics,1,"Stopped working after a week."
2087,Running Shoes,Footwear,4,"Comfortable cushioning and flexible sole."
2088,Laptop Stand,Accessories,2,"Not sturdy enough for heavier laptops."
2089,Noise-Canceling Headphones,Electronics,3,"Average performance for the price."
2090,Smart Watch,Electronics,5,"Stylish and tracks sleep accurately."
2091,Running Shoes,Footwear,5,"Perfect for marathon training."
2092,Laptop Stand,Accessories,4,"Solid and improves desk ergonomics."
2093,Noise-Canceling Headphones,Electronics,2,"Noise cancellation is weaker than expected."
2094,Smart Watch,Electronics,3,"Battery is okay but charging is slow."
2095,Running Shoes,Footwear,1,"Sole peeled off quickly."
2096,Laptop Stand,Accessories,5,"High quality aluminum finish."
2097,Noise-Canceling Headphones,Electronics,4,"Great balance of bass and treble."
2098,Smart Watch,Electronics,2,"App crashes frequently."
2099,Running Shoes,Footwear,4,"Good traction and support."
2100,Laptop Stand,Accessories,3,"Functional but average stability."
